Section,Metric,Value,Fleiss_Kappa,Krippendorff_Alpha,Agreement_Level,Support_Consensus,Pct_Full_Agreement,Model,F1,Support,TP,FP,FN,Annotator
Model Performance,,,,,Fair,,,GPT-5,0.1111,11.0,1.0,6.0,10.0,
Model Performance,,,,,Overall,,,GPT-OSS,0.1237,219.0,29.0,221.0,190.0,
Model Performance,,,,,Almost Perfect,,,GPT-OSS,0.1154,25.0,3.0,24.0,22.0,
Model Performance,,,,,Substantial,,,GPT-OSS,0.1302,97.0,14.0,104.0,83.0,
Model Performance,,,,,Moderate,,,GPT-OSS,0.1209,86.0,11.0,85.0,75.0,
Model Performance,,,,,Fair,,,GPT-OSS,0.1,11.0,1.0,8.0,10.0,
Model Performance,,,,,Overall,,,Gemma,0.109,219.0,26.0,232.0,193.0,
Model Performance,,,,,Almost Perfect,,,Gemma,0.1111,25.0,3.0,26.0,22.0,
Model Performance,,,,,Substantial,,,Gemma,0.1215,97.0,13.0,104.0,84.0,
Model Performance,,,,,Moderate,,,Gemma,0.1093,86.0,10.0,87.0,76.0,
Model Performance,,,,,Fair,,,Gemma,0.0,11.0,0.0,15.0,11.0,
Model Performance,,,,,Overall,,,Llama,0.1126,219.0,29.0,267.0,190.0,
Model Performance,,,,,Almost Perfect,,,Llama,0.0968,25.0,3.0,34.0,22.0,
Model Performance,,,,,Substantial,,,Llama,0.1429,97.0,17.0,124.0,80.0,
Model Performance,,,,,Moderate,,,Llama,0.0847,86.0,8.0,95.0,78.0,
Model Performance,,,,,Fair,,,Llama,0.0769,11.0,1.0,14.0,10.0,
Model Performance,,,,,Overall,,,Nemotron,0.1041,219.0,24.0,218.0,195.0,
Model Performance,,,,,Almost Perfect,,,Nemotron,0.1132,25.0,3.0,25.0,22.0,
Model Performance,,,,,Substantial,,,Nemotron,0.1095,97.0,11.0,93.0,86.0,
Model Performance,,,,,Moderate,,,Nemotron,0.0973,86.0,9.0,90.0,77.0,
Model Performance,,,,,Fair,,,Nemotron,0.0909,11.0,1.0,10.0,10.0,
Model Performance,,,,,Overall,,,Manual,0.1103,219.0,23.0,175.0,196.0,
Model Performance,,,,,Almost Perfect,,,Manual,0.0851,25.0,2.0,20.0,23.0,
Model Performance,,,,,Substantial,,,Manual,0.092,97.0,8.0,69.0,89.0,
Model Performance,,,,,Moderate,,,Manual,0.1413,86.0,13.0,85.0,73.0,
Model Performance,,,,,Fair,,,Manual,0.0,11.0,0.0,1.0,11.0,
,,,,,,,,,,,,,,
HUMAN BASELINE (Annotator vs Consensus),,,,,,,,,,,,,,
Human Baseline,,,,,Overall,,,,0.8038,1394.0,,,,shdin
Human Baseline,,,,,Almost Perfect,,,,0.9218,124.0,,,,shdin
Human Baseline,,,,,Substantial,,,,0.8168,642.0,,,,shdin
Human Baseline,,,,,Moderate,,,,0.8,559.0,,,,shdin
Human Baseline,,,,,Fair,,,,0.4882,69.0,,,,shdin
Human Baseline,,,,,Overall,,,,0.833,1394.0,,,,Jeremy
Human Baseline,,,,,Almost Perfect,,,,0.9283,124.0,,,,Jeremy
Human Baseline,,,,,Substantial,,,,0.8169,642.0,,,,Jeremy
Human Baseline,,,,,Moderate,,,,0.845,559.0,,,,Jeremy
Human Baseline,,,,,Fair,,,,0.7068,69.0,,,,Jeremy
Human Baseline,,,,,Overall,,,,0.7548,1394.0,,,,jdrouin
Human Baseline,,,,,Almost Perfect,,,,0.876,124.0,,,,jdrouin
Human Baseline,,,,,Substantial,,,,0.802,642.0,,,,jdrouin
Human Baseline,,,,,Moderate,,,,0.7175,559.0,,,,jdrouin
Human Baseline,,,,,Fair,,,,0.4746,69.0,,,,jdrouin
Human Baseline,,,,,Overall,,,,0.7666,1394.0,,,,BenjaminCarignan
Human Baseline,,,,,Almost Perfect,,,,0.8897,124.0,,,,BenjaminCarignan
Human Baseline,,,,,Substantial,,,,0.8571,642.0,,,,BenjaminCarignan
Human Baseline,,,,,Moderate,,,,0.6121,559.0,,,,BenjaminCarignan
Human Baseline,,,,,Fair,,,,0.6951,69.0,,,,BenjaminCarignan
Human Baseline,,,,,Overall,,,,0.7896,1394.0,,,,AVERAGE
Human Baseline,,,,,Almost Perfect,,,,0.904,124.0,,,,AVERAGE
Human Baseline,,,,,Substantial,,,,0.8232,642.0,,,,AVERAGE
Human Baseline,,,,,Moderate,,,,0.7436,559.0,,,,AVERAGE
Human Baseline,,,,,Fair,,,,0.5912,69.0,,,,AVERAGE
