promesse_id,sentence_id,date,category,source,sentence,language
18,1,1,Macroeconomics,Couillard,"Des compressions de 1,3 milliard de dollars seront réalisées au cours des deux premières années du mandat.",fr
19,1,1,Domestic Commerce,Couillard,Preferential electricity rates will be granted to the Montreal Transit Corporation.,en
19,1,1,Domestic Commerce,Couillard,Des tarifs préférentiels d’électricité seront accordés à la Société de transport de Montréal.,fr
20,1,1,Transportation,Couillard,Develop intermodal transport and coastal shipping and energize shipyards Quebec.,en
20,1,1,Transportation,Couillard,Développer le transport intermodal et le cabotage et dynamiser les chantiers maritimes québécois.,fr
21,1,1,Labor,Couillard,Develop a plan for the active promotion of forestry professions in connection with the Sectoral Committee on the workforce in forest management and institutions that provide forest-related training.,en
21,1,1,Labor,Couillard,Élaborer un plan de promotion active des métiers de la forêt en lien avec le Comité sectoriel de main-d’œuvre en aménagement forestier et les institutions qui offrent des formations liées à la forêt.,fr
22,1,1,Housing,Couillard,Expand the eligibility criteria for the tax credit for renovation of condominiums (excluding common areas).,en
22,1,1,Housing,Couillard,Élargir les critères d’admissibilité au crédit d'impôt pour la rénovation des condominiums (exception faite des parties communes).,fr
23,1,1,Transportation,Couillard,Encourage the development of tourism and shipping in the National Capital.,en
23,1,1,Transportation,Couillard,Encourager le développement du tourisme et du transport maritime dans la Capitale-Nationale.,fr
24,1,1,Domestic Commerce,Couillard,Increase the infrastructure improvement budget foreseen in the program from $ 3 million to $ 6 million to better support municipalities involved in the Municipalité amie des aînés. project.,en
24,1,1,Domestic Commerce,Couillard,Faire passer le budget d’amélioration des infrastructures prévu dans ce programme de 3 M$ à 6 M$ pour mieux soutenir les municipalités engagées dans la démarche Municipalité amie des aînés.,fr
25,1,1,Transportation,Couillard,"Establish a pilot project cabotage for a period of five years, as part of the Maritime Strategy.",en
25,1,1,Transportation,Couillard,"Faire un projet-pilote de cabotage pour une période de cinq ans, dans le cadre de la Stratégie maritime.",fr
26,1,1,Transportation,Couillard,Promote investments with the federal government in port facilities in Quebec and the creation of high value-added logistics hub.,en
26,1,1,Transportation,Couillard,Favoriser avec le gouvernement fédéral les investissements dans les installations portuaires du Québec et la création d’un pôle logistique à haute valeur ajoutée.,fr
27,1,1,Transportation,Couillard,Promote a co-investment agreement between companies to open up the Labrador Pit that would create a rail link connecting the iron ore to the port of Sept-Îles.,en
27,1,1,Transportation,Couillard,"Favoriser une entente de co-investissement entre des entreprises pour le désenclavement de la Fosse du labrador , qui mettrait de l’avant un lien ferroviaire reliant les gisements de fer au port de Sept-Îles.",fr
28,1,1,Housing,Couillard,Encourage the federal government to participate in the home renovation program and provide a federal tax credit.,en
28,1,1,Housing,Couillard,Inciter le gouvernement fédéral à participer au programme de rénovation domiciliaire et à offrir un crédit d’impôt fédéral.,fr
29,1,1,Transportation,Couillard,Invest 500 million for the widening of Highway Henri IV.,en
29,1,1,Transportation,Couillard,Investir 500 millions de dollars pour l’élargissement de l’autoroute Henri-IV.,fr
30,1,1,Domestic Commerce,Couillard,Invest in tourism infrastructure and establish the Office of maritime tourism to develop the public-private or private-private partnerships to offer tourism products.,en
30,1,1,Domestic Commerce,Couillard,Investir dans les infrastructures d’accueil et mettrons en place le Bureau de l’offre touristique maritime afin de développer les partenariats d’offres touristiques public-privé ou privé-privé.,fr
31,1,1,Transportation,Couillard,Invest in transport infrastructure that improves the quality of life of citizens of the National Capital region.,en
31,1,1,Transportation,Couillard,Investir dans les infrastructures de transport qui améliorent la qualité de vie des citoyens de la Capitale-Nationale.,fr
32,1,1,Macroeconomics,Couillard,The enhanced Plan Nord include a special mandate given to Investissement Québec.,en
32,2,1,Macroeconomics,Couillard,Its mission will be to support the growth of equipment manufacturers and suppliers in Quebec.,en
32,1,1,Macroeconomics,Couillard,Le Plan Nord amélioré comportera un mandat spécial donné à Investissement Québec.,fr
32,2,1,Macroeconomics,Couillard,Sa mission sera d’appuyer la croissance d’équipementiers et de fournisseurs du Québec.,fr
33,1,1,Transportation,Couillard,The first section of the Ville-Marie highway will be covered.,en
33,1,1,Transportation,Couillard,Le premier tronçon de l’autoroute Ville-Marie sera recouvert.,fr
34,1,1,Macroeconomics,Couillard,"The Femmessor program will be enhanced to improve financing, networking, support and training.",en
34,1,1,Macroeconomics,Couillard,"Le programme Femmessor sera bonifié afin d’améliorer les services de financement, réseautage, accompagnement et de formation.",fr
35,1,1,Macroeconomics,Couillard,The budgets for health and education will increase by more than 4% and 3.5% per year respectively,en
35,1,1,Macroeconomics,Couillard,"Les budgets de la santé et de l'éducation augmenteront respectivement de plus de 4 % et de 3,5 % par année.",fr
36,1,1,Macroeconomics,Couillard,"The local development centers (CLD) in collaboration with Investissement Québec will develop strategies and means to increase female entrepreneurship, especially among young women.",en
36,1,1,Macroeconomics,Couillard,"Les centres locaux de développement (CLD) en collaboration avec Investissement Québec devront développer des stratégies et des moyens pour accroître l’entrepreneuriat féminin, notamment auprès des jeunes femmes.",fr
37,1,1,Macroeconomics,Couillard,The departmental appropriations other than those of health and education shall be frozen for a period of 5 years.,en
37,1,1,Macroeconomics,Couillard,Les crédits des ministères autres que ceux de la santé et de l'éducation seront globalement gelés pour une période de 5 ans.,fr
38,1,1,Labor,Couillard,"Put in place new rules to maximize the local benefits in terms of jobs and local contracts, including providing training programstailored to the needs of Indigenous youth.",en
38,1,1,Labor,Couillard,"Mettre en place de nouvelles règles pour maximiser les retombées locales en matière d’emplois et de contrats locaux, prévoyant notamment des programmes de formation adaptés aux besoins des jeunes autochtones.",fr
39,1,1,Macroeconomics,Couillard,"Set up the Société du Plan Nord to coordinate the development of this immense territory, bringing together all the partners and the majority of whose members are independent of the government.",en
39,1,1,Macroeconomics,Couillard,"Mettre en place la Société du Plan Nord pour coordonner le développement sur cet immense territoire, regroupant l’ensemble des partenaires et dont la majorité des membres seront indépendants du gouvernement.",fr
40,1,1,Transportation,Couillard,"Establish a 50% tax credit on the cost of SME transportation services (200 fewer employees) to other Canadian provinces and global markets, from origin to destination.",en
40,1,1,Transportation,Couillard,"Mettre en place un crédit d’impôt de 50 % sur les coûts de services de transport des PME (200 employés en moins) vers les autres provinces canadiennes et les marchés globaux, du point d’origine au point de destination.",fr
41,1,1,Domestic Commerce,Couillard,Establish a comprehensive development plan to promote the renewal of the forest industry.,en
41,1,1,Domestic Commerce,Couillard,Mettre en place un plan de développement complet pour favoriser le renouvellement de l’industrie forestière.,fr
42,1,1,Macroeconomics,Couillard,Implement an international mining economic mission to bring back foreign investors and reassure the mining sector.,en
42,1,1,Macroeconomics,Couillard,Mettre en place une mission économique minière à l’international afin de ramener les investisseurs étrangers et rassurer le secteur minier.,fr
43,1,1,Macroeconomics,Couillard,"Give the founder of a company a tax exemption of $ 750,000 on capital gains if he sells to his family or employees (person engaged for at least one year).",en
43,1,1,Macroeconomics,Couillard,Offrir au fondateur d’une entreprise une exemption d’impôt de 750 000 $ sur le gain en capital s’il vend à sa famille ou à ses employés (personne engagée depuis au moins un an).,fr
44,1,1,Labor,Couillard,"Give a tax holiday on payroll to facilitate the hiring of specialized staff, strengthening of business innovation capacity.",en
44,1,1,Labor,Couillard,"Offrir un congé de taxe sur la masse salariale pour faciliter l’embauche d’employés spécialisés, renforçant ainsi la capacité d’innovation d’une entreprise.",fr
45,1,1,Macroeconomics,Couillard,Open a discussion with companies to assess the appropriateness of reviewing electricity tariffs.,en
45,1,1,Macroeconomics,Couillard,Ouvrir une discussion avec les entreprises afin d’évaluer la pertinence de revoir les tarifs d’électricité.,fr
46,1,1,Transportation,Couillard,Participate in the rehabilitation of the 560 feet long dock in Port-Cartier.,en
46,1,1,Transportation,Couillard,Participer à la réfection du quai long de 560 pieds à Port-Cartier.,fr
47,1,1,Macroeconomics,Couillard,Increase silviculture investments in public forests to $ 225 million per year.,en
47,1,1,Macroeconomics,Couillard,Porter les investissements en travaux sylvicoles de la forêt publique à 225 M$ par année.,fr
48,1,1,Macroeconomics,Couillard,"For machinery suppliers, equipment manufacturers and industry subcontractors, a special mandate will be given to IQ Resources, a subsidiary of Investissement Québec, in order to know the needs of large clients.",en
48,1,1,Macroeconomics,Couillard,"Pour les fournisseurs de machinerie, les équipementiers et les sous-traitants industriels, un mandat spécial sera donné à IQ Ressources, filiale d’Investissement Québec, afin de faire connaître les besoins des grands donneurs d’ordres.",fr
49,1,1,Macroeconomics,Couillard,"Preserve headquarters, which are concentrated in Montreal.",en
49,2,1,Macroeconomics,Couillard,The Generations Fund will be called upon to protect our flagships from an unsolicited takeover bid by an equity share of 10%.,en
49,1,1,Macroeconomics,Couillard,Préserver les sièges sociaux qui sont concentrés à Montréal.,fr
49,2,1,Macroeconomics,Couillard,Le Fonds des générations sera mis à contribution afin de protéger nos fleurons d'une offre publique d'achat non sollicitée par une participation au capital-actions de 10 %.,fr
50,1,1,Macroeconomics,Couillard,Generate a budget surplus by 2015-2016.,en
50,1,1,Macroeconomics,Couillard,Réaliser un surplus budgétaire dès 2015-2016.,fr
51,1,1,Macroeconomics,Couillard,Reduce the burden on taxpayers by phasing out the health tax.,en
51,1,1,Macroeconomics,Couillard,Réduire le fardeau fiscal des contribuables en éliminant graduellement la taxe santé.,fr
52,1,1,Domestic Commerce,Couillard,Revive the Northern Action Plan.,en
52,1,1,Domestic Commerce,Couillard,Relancer le Plan Nord.,en
53,1,1,Domestic Commerce,Couillard,"Revive the cabotage project on the North Shore, in collaboration with the St.",en
53,2,1,Domestic Commerce,Couillard,Lawrence ship.ping industry.,en
53,1,1,Domestic Commerce,Couillard,"Relancer le projet de cabotage sur la Côte-Nord, en collaboration avec les armateurs du Saint-Laurent.",fr
54,1,1,Domestic Commerce,Couillard,Strengthen regional bodies of 14 export promotion (ORPEX) to better support SMEs in their export strategies.,en
54,1,1,Domestic Commerce,Couillard,Renforcer les 14 organismes régionaux de promotion à l’exportation (ORPEX) pour mieux soutenir les PME dans leurs stratégies d’exportation.,fr
55,1,1,Domestic Commerce,Couillard,"Support industry in commercializing innovative, processed wood products such as architectural elements and products derived from cellulose.",en
55,1,1,Domestic Commerce,Couillard,Soutenir l’industrie dans la commercialisation des produits innovants de la transformation du bois comme les éléments architecturaux et les produits dérivés de la cellulose.,fr
56,1,1,Transportation,Couillard,"Workwith the federal government to complete the replacement of the Champlain Bridge in the shortest possible time, without tolls and with an adapte public transport system.",en
56,1,1,Transportation,Couillard,"Travailler conjointement avec le gouvernement fédéral pour parachever le remplacement du pont Champlain dans les meilleurs délais possibles, sans péage et doté d’un système de transport en commun adapté.",fr
57,1,1,Domestic Commerce,Couillard,Work on a code of conduct in public institutions for the purchase of local food.,en
57,1,1,Domestic Commerce,Couillard,Travailler sur un code de conduite dans les institutions publiques pour l’achat d’aliments de proximité.,fr
58,1,1,Domestic Commerce,Couillard,A procurement office will be integrated in the Société du Plan Nord to inform companies from all over Quebec about the needs for supplies and equipment of all kinds to associate companies from the South to Northern development.,en
58,1,1,Domestic Commerce,Couillard,"Un bureau d’approvisionnement sera intégré à la Société du Plan Nord pour faire connaître, aux entreprises de tout le Québec, les besoins en fourniture et en équipements de toutes sortes afin d’associer le Sud au développement du Nord.",fr
59,1,1,Domestic Commerce,Couillard,An investment of $ 500 million will allow the Vaudreuil-Soulanges logistics centre to emerge.,en
59,1,1,Domestic Commerce,Couillard,Un investissement de 500 M$ permettra au pôle logistique de Vaudreuil-Soulanges de voir le jour.,fr
60,1,1,Macroeconomics,Couillard,A permanent Program Review Board will be established to carry out mandates to review government programs and their delivery.,en
60,2,1,Macroeconomics,Couillard,This mandate will be under the authority of the Treasury Board..,en
60,1,1,Macroeconomics,Couillard,Une commission permanente de révision de programmes sera instituée afin de réaliser des mandats d’examen des programmes gouvernementaux et de leur mode de prestation.,fr
60,2,1,Macroeconomics,Couillard,Ce mandat sera sous l’autorité du Conseil du trésor.,fr
61,1,1,Housing,Couillard,Help young and old to raise the down payment required to purchase a first residence by creating a savings property plan (régime épargne-propriété).,en
61,1,1,Housing,Couillard,Aider les jeunes et les moins jeunes à amasser la mise de fonds nécessaire à l’achat d’une première résidence principale en créant un régime épargne-propriété (REP).,fr
62,1,1,Housing,Couillard,In the first 100 days introduce a tax credit for home improvement of 20% (up to $ 2 500) to support families who wish to renovate their homes.,en
62,1,1,Housing,Couillard,"Dans les 100 premiers jours, introduire un crédit d’impôt pour la rénovation domiciliaire de 20 % (jusqu’à un maximum de 2 500 $) pour soutenir les familles qui désirent rénover leur domicile.",fr
63,1,1,Domestic Commerce,Couillard,"Help northern communities, both to support and create transport infrastructure, schools, housing or health services.",en
63,1,1,Domestic Commerce,Couillard,"Aider les communautés nordiques, que ce soit pour soutenir et créer des infrastructures de transport, des écoles, des logements ou encore des services de santé.",fr
64,1,1,Domestic Commerce,Couillard,Help Quebec cheesemakers to develop new markets.,en
64,1,1,Domestic Commerce,Couillard,Aider les fromagers du Québec à développer de nouveaux marchés.,fr
65,1,1,Transportation,Couillard,Support the city's efforts to increase public transit use.,en
65,1,1,Transportation,Couillard,Appuyer les efforts de la métropole visant à augmenter l’utilisation du transport en commun.,fr
66,1,1,Foreign Trade,Couillard,"Request reciprocity in design and food safety standards for cheeses to be imported here, in relation to the Canada-European Union Free Trade Agreement.",en
66,1,1,Foreign Trade,Couillard,"Demander la réciprocité dans les normes de conception et de salubrité alimentaire des fromages qui seront importés ici, en lien avec l'accord de libre-échange Canada-Union Européenne.",fr
67,1,1,Domestic Commerce,Couillard,Give the city the necessary tax levers necessary such that Montreal could diversify its income and conclude an agreement with Montreal on sharing responsibilities and resources according to the principle of subsidiarity.,en
67,1,1,Domestic Commerce,Couillard,Donner à la métropole les leviers fiscaux nécessaires pour que Montréal puisse diversifier ses revenus et conclura avec elle un partage des responsabilités et des ressources selon le principe de subsidiarité.,fr
68,1,1,Macroeconomics,Couillard,"Allow young farmers who are preparing to take over from their parents or grandparents, to accumulate money in a tax-deferred Young Farmer Fund.",en
68,1,1,Macroeconomics,Couillard,"Permettre au jeune agriculteur, qui se prépare à prendre la relève de ses parents ou grands-parents, d’accumuler de l’argent à l’abri de l’impôt dans un fonds Jeune agriculteur.",fr
69,1,1,Domestic Commerce,Couillard,"Allow greater accessibility to alcoholic products made in Quebec by making the necessary legislative changes or the further development of distribution networks for wine, cider and other drinks.",en
69,1,1,Domestic Commerce,Couillard,"Permettre une plus grande accessibilité aux produits alcoolisés du Québec en faisant les changements législatifs qui s’imposent pour le développement accru du réseau de distribution des vins, cidres et autres boissons.",fr
70,1,1,Education,Couillard,Launch the Quebec Creativity program.,en
70,1,1,Education,Couillard,Lancer le programme Créativité Québec.,fr
71,1,1,Education,Couillard,Ensure the availability of a skilled workforce through the deployment and promotion of training programs and through supporting our training centers.,en
71,1,1,Education,Couillard,Assurer la disponibilité d’une main-d’œuvre qualifiée par le déploiement et la promotion des programmes de formation et en appuyant nos centres de formation.,fr
72,1,1,Education,Couillard,Emphasize the promotion of the quality of French in primary school.,en
72,1,1,Education,Couillard,Accentuer la promotion de la qualité du français dès l’école primaire.,fr
73,1,1,Education,Couillard,Ease bureaucracy for school boards and CEGEPs so they can provide more timely training to meet the market demands.,en
73,1,1,Education,Couillard,Assouplir la bureaucratie pour les commissions scolaires et les cégeps afin qu’ils puissent offrir plus rapidement des formations répondant aux demandes du marché.,fr
74,1,1,Education,Couillard,"Relax the admissions rules for courses leading to vocational diplomas (DEP), to certificates of Collegial Studies (AEC) and at college diplomas (DEC).",en
74,1,1,Education,Couillard,"Assouplir les règles d’entrée pour les formations menant à des diplômes d’études professionnelles (DEP), à des attestations d’études collégiales (AEC) et à des diplômes d’études collégiales (DEC).",fr
75,1,1,Education,Couillard,Provide homework support services in all primary schools.,en
75,1,1,Education,Couillard,Assurer un service d’aide aux devoirs dans toutes les écoles primaires.,fr
76,1,1,Education,Couillard,Complete the coverage of Quebec in terms of high speed Internet access Broadband.,en
76,1,1,Education,Couillard,Compléter la couverture du Québec en matière d’accès Internet haute vitesse à large bande.,fr
77,1,1,Education,Couillard,Confirm the learning of French and English (second language) in the first year of elementary school in English and French schools.,en
77,1,1,Education,Couillard,Confirmer l’apprentissage du français et de l’anglais (comme langue seconde) en première année du primaire dans les écoles anglophones et francophones.,fr
78,1,1,Education,Couillard,Create a support network for research and the development of knowledge.,en
78,1,1,Education,Couillard,Créer le réseau de soutien à la recherche et au développement des connaissances.,fr
79,1,1,Education,Couillard,"Developing a partnership with academia, private sector employers and employment aid organizations to provide work experience to young university graduates from studies that do not offer training programs.",en
79,1,1,Education,Couillard,"Développer un partenariat avec le milieu universitaire, les employeurs du secteur privé et les organismes d'aide à l'emploi afin d’offrir une expérience de travail aux jeunes diplômés universitaires issus de programmes d'études n'offrant pas de stage.",fr
80,1,1,Education,Couillard,Giving principals the ability to offer specialized vocations and develop extracurricular activities.,en
80,1,1,Education,Couillard,Donner aux directions d’école la possibilité d’offrir des vocations spécialisées et de développer des activités parascolaires.,fr
81,1,1,Education,Couillard,Extend the homework help periods with sessions some afternoons and evenings.,en
81,1,1,Education,Couillard,Élargir les périodes d’aide aux devoirs avec des séances certains midis et soirs.,fr
82,1,1,Education,Couillard,"Extend to all universities the Accelerators for Business Creation Model (CTEA), developed by the University of Sherbrooke.",en
82,1,1,Education,Couillard,"Étendre à toutes les universités le modèle des Accélérateurs pour la création d’entreprises (ACET), développé par l’Université de Sherbrooke.",fr
83,1,1,Education,Couillard,Extend homework assistance to secondary schools.,en
83,1,1,Education,Couillard,Étendre l’aide aux devoirs aux écoles secondaires.,fr
84,1,1,Education,Couillard,"Facilitate the transition between different training courses, particularly in terms of prerequisites to encourage further education for those who wish to continue their studies in high school, college or university.",en
84,1,1,Education,Couillard,"Faciliter la transition entre les différents parcours de formation, notamment au chapitre des prérequis, afin d’encourager la poursuite des études pour ceux qui désirent continuer leur cheminement scolaire au secondaire, au collégial ou à l’université.",fr
85,1,1,Education,Couillard,Encourage increased autonomous revenues for universities.,en
85,1,1,Education,Couillard,Favoriser une augmentation des revenus autonomes des universités.,fr
86,1,1,Education,Couillard,Index tuition for Quebec students.,en
86,1,1,Education,Couillard,Indexer les frais de scolarité des étudiants québécois.,fr
87,1,1,Education,Couillard,Emphasize the importance of reading and writing.,en
87,1,1,Education,Couillard,Insister sur l’importance de la lecture et de l’écriture.,fr
88,1,1,Education,Couillard,Maintain the choice of language of instruction at pre-school and post-secondary.,en
88,1,1,Education,Couillard,Maintenir le choix de la langue d’enseignement aux niveaux préscolaire et postsecondaire.,fr
89,1,1,Education,Couillard,"Provide more varied pathway to vocational and college education (DEP, AEC, DEC).",en
89,1,1,Education,Couillard,"Offrir davantage de parcours variés en formation professionnelle et collégiale (DEP, AEC, DEC).",fr
90,1,1,Education,Couillard,Offer immersion programmes in English or French.,en
90,1,1,Education,Couillard,Offrir des séjours d’immersion en anglais ou en français.,fr
91,1,1,Education,Couillard,Reaffirm the implementation of the Intensive English program in Grade 6 by providing adequate funding.,en
91,1,1,Education,Couillard,Réaffirmer la mise en œuvre du programme d’anglais intensif en 6e année en prévoyant le financement adéquat.,fr
92,1,1,Education,Couillard,"Strengthen the links between the education community, universities and colleges, and industry to develop programs in engineering and architecture to promote the use of structural timber.",en
92,1,1,Education,Couillard,"Renforcer les liens entre le milieu de l’éducation, les universités et les cégeps, et l’industrie afin de développer des programmes en génie et en architecture pour favoriser l’utilisation du bois de structure.",fr
93,1,1,Education,Couillard,Review tuition fees for students from the Francophonie to have them pay the equivalent of tuition fees paid by Canadian students.,en
93,1,1,Education,Couillard,Revoir les frais de scolarité des étudiants issus de la Francophonie afin qu’ils paient l’équivalent de ce que paient les étudiants canadiens.,fr
94,1,1,Education,Couillard,Simplify and improve the efficiency of accountability mechanismes for universities while ensuring rigorous and transparent management.,en
94,1,1,Education,Couillard,Simplifier et à rendre efficiente la reddition de compte des universités tout en s’assurant d’une gestion rigoureuse et transparente.,fr
95,1,1,Education,Couillard,Build on the German model of trade schools to incorporate more work placements in vocational and technical training programs.,en
95,1,1,Education,Couillard,S'inspirer du modèle allemand des écoles de métier afin d’intégrer davantage de stages en entreprise dans les programmes de formation professionnelle et technique.,fr
96,1,1,Education,Couillard,Support projects to fight against high school drop-outs from the community such as CRÉPAS in Saguenay-Lac-Saint-Jean.,en
96,1,1,Education,Couillard,Soutenir les projets de lutte contre le décrochage scolaire issus de la communauté tel le CRÉPAS au Saguenay-Lac-Saint-Jean.,fr
97,1,1,Environment,Couillard,"Mandate an organization to document and track the state of coastal areas and riverbanks to prevent their degradation, which will be responsible for their improvement, and for developing demand for fishing-related products",en
97,1,1,Environment,Couillard,"Mandater un organisme qui documentera et suveillera l’état des zones côtières et des berges afin d’empêcher leur dégradation, qui verra à leur amélioration, ainsi qu’à développer davantage la demande de produits liés à la pêche",fr
98,1,1,Environment,Couillard,"Continue work on the deciduous forest project, launched in 2012 to develop a strategy in this type of forest, which represents 30% of the Quebec forest.",en
98,1,1,Environment,Couillard,"Poursuivre les travaux du chantier sur la forêt feuillue, lancés en 2012, afin d’élaborer une stratégie propre à ce type de forêt, qui représente 30 % de la forêt québécoise.",fr
99,1,1,Environment,Couillard,Restore financial support for the maintenance and development of multi-user logging roads to ensure safe access to forest users.,en
99,1,1,Environment,Couillard,Rétablir un soutien financier pour l’entretien et l’aménagement des chemins forestiers multiusagers afin d’assurer un accès sécuritaire aux usagers de la forêt.,fr
100,1,1,Environment,Couillard,Review the practices of the Chief Forester so that there is more transparency and information about the calculation of allowable logging cuts.,en
100,1,1,Environment,Couillard,Revoir les pratiques du Forestier en chef afin qu’il y ait plus de transparence et d’informations quant au calcul des possibilités forestières.,fr
101,1,1,Environment,Couillard,Continue to support the use of forest biomass.,en
101,1,1,Environment,Couillard,Continuer d’appuyer la valorisation de la biomasse forestière.,fr
102,1,1,Environment,Couillard,In the first 100 days. convene an advisory committee on climate change to develop an action plan to achieve the GHG reduction target of 20% by 2020.,en
102,1,1,Environment,Couillard,"Dans les 100 premiers jours, convoquer un comité aviseur en changements climatiquesd’élaborer un plan d’action pour atteindre un objectif de réduction des GES de 20 % d’ici 2020.",fr
103,1,1,Environment,Couillard,Make the fight against greenhouse gas emissions a horizontal priority involving all departments and agencies.,en
103,1,1,Environment,Couillard,Faire de la lutte contre les émissions de GES une priorité horizontale réunissant tous les ministères et organismes du gouvernement.,fr
104,1,1,Environment,Couillard,The first Maritime Strategy for Quebec plans to reserve 10% of the marine territory as marine protected areas by 2015.,en
104,1,1,Environment,Couillard,La première Stratégie maritime pour le Québec prévoit de réserver 10 % du territoire marin à des aires marines protégées d’ici 2015.,fr
105,1,1,Energy,Couillard,Maintain the carbon market.,en
105,1,1,Energy,Couillard,Maintenir le marché du carbone.,fr
106,1,1,Environment,Couillard,Continue the implementation of the Wood Charter.,en
106,1,1,Environment,Couillard,Poursuivre la mise en place de la Charte du bois.,fr
107,1,1,Environment,Couillard,Reaffirm the concept of community forests.,en
107,1,1,Environment,Couillard,Réaffirmer le concept de forêts de proximité.,fr
108,1,1,Energy,Couillard,"Encourage the supply of natural gas north of the 49th parallel to Sept-Îles to serve the North Shore, which is the last region with high industrial intensity deprived of this energy.",en
108,1,1,Energy,Couillard,"Encourager l’approvisionnement en gaz naturel au nord du 49e parallèle vers Sept-Îles afin de desservir la Côte-Nord, dernière région à forte intensité industrielle toujours privée de cette énergie.",fr
109,1,1,Government Operations,Couillard,Appoint a Minister Delegate for SMEs.,en
